Row,Port Num,Port Name,lat,lon,MarineTrafficPortType,MarineTrafficPortType_num,ConsolidatedPortType,ConsolidatedPortType_num
643,214,HAMILTON HARBOR CLUB,26.10293,-81.78148,Small-sized Marina/Local Harbour,9,Recreational,3
646,215,HARBOR HIDEAWAY,26.93156,-82.35588,Small-sized Marina/Local Harbour,9,Recreational,3
649,216,HARBOR VISTA,27.41324,-82.57442,Small-sized Marina/Local Harbour,9,Recreational,3
652,217,HARBORWALK,29.2937,-94.96906,Medium-sized Marina/Local Harbour,5,Recreational,3
655,218,HAWK'S CAY RESORT,24.77784,-80.91225,Small-sized Marina/Local Harbour,9,Recreational,3
658,219,HERITAGE MOTOR COACH,30.29739,-87.53215,Small-sized Marina/Local Harbour,9,Recreational,3
661,220,HERNANDO BEACH,28.48999,-82.65141,Small-sized Marina/Local Harbour,9,Recreational,3
664,221,HIDDEN HARBOR,27.24067,-82.50777,Small-sized Marina/Local Harbour,9,Recreational,3
667,222,HILTON KEY LARGO,25.0683,-80.4725,Small-sized Marina/Local Harbour,9,Recreational,3
670,223,HIX MARINE SERVICES,27.41966,-82.58415,Small-sized Marina/Local Harbour,9,Recreational,3
673,224,HOLIDAY HARBOR,30.3102,-87.43777,Small-sized Marina/Local Harbour,9,Recreational,3
676,225,HOLIDAY ISLE,24.94214,-80.60526,Medium-sized Marina/Local Harbour,5,Recreational,3
679,226,HOME PORT,28.05901,-82.77744,Medium-sized Marina/Local Harbour,5,Recreational,3
682,227,HOPPER'S LANDING,28.3445,-96.791,Medium-sized Marina/Local Harbour,5,Recreational,3
685,228,HORSESHOE BEACH,29.4383,-83.2892,Small-sized Marina/Local Harbour,9,Recreational,3
688,229,HOUSTON YACHT CLUB,29.61937,-94.99898,Medium-sized Marina/Local Harbour,5,Recreational,3
691,230,HUBBARD'S,27.7844,-82.7829,Small-sized Marina/Local Harbour,9,Recreational,3
694,231,HUDSON,30.29146,-87.55904,Medium-sized Marina/Local Harbour,5,Recreational,3
697,232,HUDSON BEACH,28.36129,-82.7048,Small-sized Marina/Local Harbour,9,Recreational,3
700,233,HYATT SARASOTA,27.34053,-82.54879,Small-sized Marina/Local Harbour,9,Recreational,3
703,234,IDEAL,29.67393,-83.39732,Small-sized Marina/Local Harbour,9,Recreational,3
706,235,INDIAN SPRINGS,27.87703,-82.84852,Medium-sized Marina/Local Harbour,5,Recreational,3
709,236,ISLA DEL SOL,27.71569,-82.71524,Medium-sized Marina/Local Harbour,5,Recreational,3
712,237,ISLAMORADA,24.90985,-80.64879,Small-sized Marina/Local Harbour,9,Recreational,3
715,238,ISLAND COVE,30.40166,-87.25377,Small-sized Marina/Local Harbour,9,Recreational,3
718,239,ISLAND MARINE,27.76872,-82.76566,Small-sized Marina/Local Harbour,9,Recreational,3
721,240,ISLE OF CAPRI,25.98306,-81.72494,Small-sized Marina/Local Harbour,9,Recreational,3
724,241,ISLES,26.92425,-82.07257,Medium-sized Marina/Local Harbour,5,Recreational,3
727,242,JACK'S MARINE,26.7219,-81.7258,Small-sized Marina/Local Harbour,9,Recreational,3
730,243,JENSEN'S TWIN PALMS,26.522,-82.1888,Small-sized Marina/Local Harbour,9,Recreational,3
733,244,JOHN PENNEKAMP,25.1225,-80.4061,Small-sized Marina/Local Harbour,9,Recreational,3
736,245,JOHN RETTIG'S BASE,30.41771,-88.92339,Small-sized Marina/Local Harbour,9,Recreational,3
739,246,JOHN'S PASS,27.78288,-82.77936,Small-sized Marina/Local Harbour,9,Recreational,3
742,247,JUG CREEK,26.69796,-82.14782,Small-sized Marina/Local Harbour,9,Recreational,3
745,248,KAWAMA YACHT CLUB,25.0758,-80.4414,Small-sized Marina/Local Harbour,9,Recreational,3
748,249,KEATON BEACH,29.82507,-83.5933,Small-sized Marina/Local Harbour,9,Recreational,3
751,250,KEMAH,29.54557,-95.02016,Medium-sized Marina/Local Harbour,5,Recreational,3
754,251,KEY COLONY BEACH,24.72306,-81.01894,Small-sized Marina/Local Harbour,9,Recreational,3
757,252,KEY LARGO,25.0417,-80.4875,Small-sized Marina/Local Harbour,9,Recreational,3
760,253,KEY LARGO YACHT CLUB,25.08154,-80.43921,Small-sized Marina/Local Harbour,9,Recreational,3
763,254,KING FISHER,28.56749,-96.62304,Medium-sized Marina/Local Harbour,5,Recreational,3
766,255,KIRBY,29.0117,-95.3142,Medium-sized Marina/Local Harbour,5,Recreational,3
769,256,KNIGHT'S KEY,24.7064,-81.1225,Small-sized Marina/Local Harbour,9,Recreational,3
772,257,LADY CREEK,29.97122,-84.34869,Small-sized Marina/Local Harbour,9,Recreational,3
775,258,LAFITTE COVE,30.32836,-87.16656,Small-sized Marina/Local Harbour,9,Recreational,3
778,259,LAGOON LIGHTHOUSE,30.14775,-85.74434,Small-sized Marina/Local Harbour,9,Recreational,3
781,260,LAISHLEY PARK,26.939,-82.05186,Small-sized Marina/Local Harbour,9,Recreational,3
784,261,LAKEWOOD YACHT CLUB,29.558,-95.02924,Medium-sized Marina/Local Harbour,5,Recreational,3
787,262,LAMAR,28.13408,-96.99832,Medium-sized Marina/Local Harbour,5,Recreational,3
