strat_id,psu_id,YEAR,ST,CNTY,INTSITE,MODE_FX,AREA_X,PARTY,WAVE,kod,month,TIME,DIST,ART_REEF,wp_int
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,6.0,2,we,4,1120.0,1.0,,256.318353
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,6.0,2,we,4,1227.0,1.0,,256.318353
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,6.0,2,we,4,1228.0,1.0,,256.318353
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,6.0,2,we,4,1229.0,1.0,,256.318353
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,6.0,2,we,4,1230.0,1.0,,256.318353
201904115wdS:8AM-8PM,201921151573420190430,2019,1,97.0,40.0,5,1,2.0,2,wd,4,1518.0,1.0,,2615.8994999
201904115weS:8AM-8PM,201921151579720190421,2019,1,3.0,4381.0,5,1,2.0,2,we,4,1125.0,1.0,,53.138035577
201904115weS:8AM-8PM,201921151579720190421,2019,1,3.0,4381.0,5,1,2.0,2,we,4,1126.0,1.0,,53.138035577
201903115wdS:8AM-8PM,201921151503220190311,2019,1,3.0,4381.0,5,2,2.0,2,wd,3,1300.0,2.0,,26.899794687
201903115wdS:8AM-8PM,201921151503220190311,2019,1,3.0,4381.0,5,2,2.0,2,wd,3,1301.0,2.0,,26.899794687
201903115wdS:8AM-8PM,201921151503220190311,2019,1,3.0,4381.0,5,2,5.0,2,wd,3,1312.0,2.0,,47.807890395
201903115wdS:8AM-8PM,201921151503220190311,2019,1,3.0,4381.0,5,2,5.0,2,wd,3,1313.0,2.0,,47.807890395
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,3.0,2,we,3,1105.0,2.0,,83.234625664
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,3.0,2,we,3,1106.0,2.0,,83.234625664
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,3.0,2,we,3,1107.0,2.0,,83.234625664
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,4.0,2,we,3,1150.0,2.0,,83.234625664
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,4.0,2,we,3,1151.0,2.0,,83.234625664
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,4.0,2,we,3,1152.0,2.0,,83.234625664
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,4.0,2,we,3,1153.0,2.0,,83.234625664
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,9.0,2,we,3,1244.0,2.0,,124.8519385
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,9.0,2,we,3,1245.0,2.0,,124.8519385
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,9.0,2,we,3,1246.0,2.0,,124.8519385
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,9.0,2,we,3,1247.0,2.0,,124.8519385
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,9.0,2,we,3,1248.0,2.0,,124.8519385
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,9.0,2,we,3,1249.0,2.0,,124.8519385
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,2,2.0,2,we,3,1445.0,2.0,,48.860979077
